,,dual purpose dairy,,,,dual purpose fattening and rearing,,,,draft animal ,,,,specialized dairy system,,,,Sheep,,,improved crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description ,,base run,,,,base run,,,,base run,,,,base run,,,,base run,,,,base run,improved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,DDvar,DD0,DD1,DD2,DFvar,DF0,DF1,DF2,DAvar,DA0,DA1,DA2,SDvar,SD0,SD1,SD2,SHvar,SH0,SH1,SH2,Crvar,Cr0,Cr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% left on pasture,es_pasture_perc,0,0,,sis_pasture_perc,0,0,,da_pasture_perc,0,0,,is_pasture_perc,0,0,,sh_pasture_perc,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% daily spread,es_dailyspread_perc,0,0,,sis_dailyspread_perc,0,0,,da_dailyspread_perc,0,0,,is_dailyspread_perc,0,0,,sh_dailyspread_perc,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% in digester ,es_digester_perc,0,30,,sis_digester_perc,0,30,,da_digester_perc,0,30,,is_digester_perc,0,0,,sh_digester_perc,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% used as fuel,es_fuel_perc,55,10,,sis_fuel_perc,30,10,,da_fuel_perc,55,10,,is_fuel_perc,25,15,,sh_fuel_perc,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% other management,es_other_perc,0,0,,sis_other_perc,0,0,,da_other_perc,0,0,,is_other_perc,35,40,,sh_other_perc,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
improve crop scenario ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percent of stored manure applied to cereals,,,,,,,,,,,,,,,,,,,,,manc,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer application kg/ha applied to cereals ,,,,,,,,,,,,,,,,,,,,,fertc,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
