AnimalClass,binomial,binomial_id,Common name,ConSt_id,GeogRange(sqkm),RelevanceMaziwaZ,ThreatsFromTzAg?,treatBIN,dforest,mforest,sforest,pforest,mforest,cgrass,ograss,cbush,obush,pcrop,acrop,wetland,waterbody
Mammal,Eidolon helvum,47,African straw coloured fruit bat,3,,N,N,0,1,1,0,1,1,1,1,1,1,0,0,1,0
Mammal,Galagoides orinus,48,Mountain Dwarf Galago,3,20000,Maybe,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mammal,Hippopotamus amphibius,49,Hippopotamus,4,,Maybe – unlikely,Maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Hipposideros vittatus,50,Commerson's Leafnosed Bat,3,,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Hyaena hyaena,51,Striped Hyaena,3,,Maybe,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Kerivoula africana,52,Tanzanian Woolly Bat,2,500,Y,Y,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Mammal,Loxodonta africana,53,African elephant,4,,"Cattle, but Maziwa Zaidi?",Y,0,1,1,1,0,0,1,1,1,1,0,0,0,0
Mammal,Myonycteris relicta,54,East African Little Collared Fruit Bat,4,,Indirect?,Maybe,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Mammal,Oryx beisa,55,Beisa Oryx,3,,Maybe,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Otomops martiensseni,56,arge-eared Free-tailed Bat,3,,N,N,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Mammal,Panthera leo,57,African lion,4,,Indirect?,Y,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mammal,Panthera pardus,58,Leopard,3,,Maybe,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Paraxerus vexillarius,59,Svynnerton's Bush Squirrel,3,20000,Maybe,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Procolobus gordonorum,60,Udzungwa Red Colobus,2,5000,N,Y,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Mammal,Rhinolophus deckenii,61,Decken's Horseshoe Bat,3,,Maybe,Y,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Mammal,Rhynchocyon cirnei,62,Chequered Sengi,3,,Maybe,Maybe,0,1,1,1,0,0,0,0,0,0,0,0,1,1
Mammal,Rhynchocyon petersi,63,Black and Rufous Sengi,4,,Maybe,Y,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mammal,Smutsia temminckii,64,Temminck's Ground Pangolin,4,,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammal,Sylvisorex howelli,65,Howell's Forest Shrew,2,5000,Maybe,,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mammal,Taphozous hildegardeae,66,Hildegarde's Tomb Bat,4,20000,N,N,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Mammal,Tragelaphus imberbis,67,Lesser Kudu,3,,Maybe – unlikely,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reptile,Afrotyphlops gierrai,68,Gierra's Blind Snake,2,1600,?,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reptile,Atheris ceratophora,69,Usambara Eyelash Viper,4,15000,Y - check,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reptile,Elapsoidea nigra,70,Usambara Garter Snake,2,2700,Maybe,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Reptile,Lygodactylus gravis,71,Usambara Dwarf Gecko,4,7200,Y - check,Y,0,1,1,0,0,0,0,0,0,0,0,0,0,0
